iter	Logloss
0	0.5240989046
1	0.4686935488
2	0.4491302738
3	0.4415449512
4	0.4389387813
5	0.4373612313
6	0.4366878984
7	0.4361248986
8	0.4354535865
9	0.4348036896
10	0.4342598576
11	0.433963417
12	0.4334169207
13	0.4332406061
14	0.4327951036
15	0.4324389324
16	0.432079709
17	0.4318078728
18	0.4315360026
19	0.4310922174
